A,B,Bpop,C,D,E,Epop,F,Total users,Date,Day index,Time index,Time series dates,Year,Temperature,Conditions
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,0,2017-07-21 00:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,1,2017-07-21 00:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,2,2017-07-21 00:30:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,3,2017-07-21 00:45:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,4,2017-07-21 01:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,5,2017-07-21 01:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,6,2017-07-21 01:30:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,7,2017-07-21 01:45:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,8,2017-07-21 02:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,9,2017-07-21 02:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,10,2017-07-21 02:30:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,11,2017-07-21 02:45:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,12,2017-07-21 03:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,13,2017-07-21 03:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,14,2017-07-21 03:30:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,15,2017-07-21 03:45:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,16,2017-07-21 04:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,17,2017-07-21 04:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,18,2017-07-21 04:30:00,2017,15,3
0,0,0.0,1,0,0,0.0,0,1.0,2017-07-21,0,19,2017-07-21 04:45:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,20,2017-07-21 05:00:00,2017,16,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,21,2017-07-21 05:15:00,2017,16,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,22,2017-07-21 05:30:00,2017,16,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,23,2017-07-21 05:45:00,2017,16,3
0,0,0.0,1,0,0,0.0,0,1.0,2017-07-21,0,24,2017-07-21 06:00:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,25,2017-07-21 06:15:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,26,2017-07-21 06:30:00,2017,15,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,27,2017-07-21 06:45:00,2017,15,3
0,0,0.0,0,0,1,0.0,0,1.0,2017-07-21,0,28,2017-07-21 07:00:00,2017,16,3
1,1,0.0,1,0,0,0.0,0,3.0,2017-07-21,0,29,2017-07-21 07:15:00,2017,16,3
1,0,0.0,0,0,0,0.0,2,3.0,2017-07-21,0,30,2017-07-21 07:30:00,2017,17,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,31,2017-07-21 07:45:00,2017,17,3
0,1,0.0,0,0,0,0.0,0,1.0,2017-07-21,0,32,2017-07-21 08:00:00,2017,18,3
0,1,0.0,0,0,0,0.0,0,1.0,2017-07-21,0,33,2017-07-21 08:15:00,2017,18,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,34,2017-07-21 08:30:00,2017,18,3
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,35,2017-07-21 08:45:00,2017,18,3
0,0,0.0,0,0,0,0.0,1,1.0,2017-07-21,0,36,2017-07-21 09:00:00,2017,19,2
0,0,0.0,0,0,0,0.0,0,0.0,2017-07-21,0,37,2017-07-21 09:15:00,2017,19,2
0,0,0.0,1,0,0,0.0,0,1.0,2017-07-21,0,38,2017-07-21 09:30:00,2017,20,3
0,0,0.0,1,0,0,0.0,0,1.0,2017-07-21,0,39,2017-07-21 09:45:00,2017,20,3
0,1,0.0,0,0,0,0.0,0,1.0,2017-07-21,0,40,2017-07-21 10:00:00,2017,21,3
